{'n_aborts': 0, 'n_successes': 0, 'steps': 1}
{'n_aborts': 18, 'n_successes': 31, 'steps': 179, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 180, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 181, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 182, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 183, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 184, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 185, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 186, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 187, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 188, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 189, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 190, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 191, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 192, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 193, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 194, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 195, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 196, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 197, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 198, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 199, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 200, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 201, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 202, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 203, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 204, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 205, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 206, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 207, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 208, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 209, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 210, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 211, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 212, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 213, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 214, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 215, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 216, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 217, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 218, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 219, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 220, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 221, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 222, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 223, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 224, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 225, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 226, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 227, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 228, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 229, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 230, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 231, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 232, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 233, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 234, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 235, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 236, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 237, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 238, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 239, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 240, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 241, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 242, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 243, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 244, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 245, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 246, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 247, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 248, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 249, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 250, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 251, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 252, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 253, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 254, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 255, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 256, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 257, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 258, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 259, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 260, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 261, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 262, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 263, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 264, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 265, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 266, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 267, 'name': 'Linear Model'}
