{'n_aborts': 1691, 'n_successes': 1408, 'steps': 111, 'name': 'Linear Model'}
{'n_aborts': 1715, 'n_successes': 1414, 'steps': 112, 'name': 'Linear Model'}
{'n_aborts': 1732, 'n_successes': 1426, 'steps': 113, 'name': 'Linear Model'}
{'n_aborts': 1751, 'n_successes': 1447, 'steps': 114, 'name': 'Linear Model'}
{'n_aborts': 1768, 'n_successes': 1458, 'steps': 115, 'name': 'Linear Model'}
{'n_aborts': 1779, 'n_successes': 1471, 'steps': 116, 'name': 'Linear Model'}
{'n_aborts': 1796, 'n_successes': 1482, 'steps': 117, 'name': 'Linear Model'}
{'n_aborts': 1823, 'n_successes': 1492, 'steps': 118, 'name': 'Linear Model'}
{'n_aborts': 1840, 'n_successes': 1506, 'steps': 119, 'name': 'Linear Model'}
{'n_aborts': 1852, 'n_successes': 1527, 'steps': 120, 'name': 'Linear Model'}
{'n_aborts': 1861, 'n_successes': 1540, 'steps': 121, 'name': 'Linear Model'}
{'n_aborts': 1877, 'n_successes': 1548, 'steps': 122, 'name': 'Linear Model'}
{'n_aborts': 1901, 'n_successes': 1558, 'steps': 123, 'name': 'Linear Model'}
{'n_aborts': 1916, 'n_successes': 1575, 'steps': 124, 'name': 'Linear Model'}
{'n_aborts': 1930, 'n_successes': 1587, 'steps': 125, 'name': 'Linear Model'}
{'n_aborts': 1937, 'n_successes': 1602, 'steps': 126, 'name': 'Linear Model'}
{'n_aborts': 1958, 'n_successes': 1611, 'steps': 127, 'name': 'Linear Model'}
{'n_aborts': 1972, 'n_successes': 1622, 'steps': 128, 'name': 'Linear Model'}
{'n_aborts': 1997, 'n_successes': 1640, 'steps': 129, 'name': 'Linear Model'}
{'n_aborts': 2010, 'n_successes': 1647, 'steps': 130, 'name': 'Linear Model'}
{'n_aborts': 2027, 'n_successes': 1664, 'steps': 131, 'name': 'Linear Model'}
{'n_aborts': 2045, 'n_successes': 1676, 'steps': 132, 'name': 'Linear Model'}
{'n_aborts': 2060, 'n_successes': 1688, 'steps': 133, 'name': 'Linear Model'}
{'n_aborts': 2080, 'n_successes': 1706, 'steps': 134, 'name': 'Linear Model'}
{'n_aborts': 2096, 'n_successes': 1722, 'steps': 135, 'name': 'Linear Model'}
{'n_aborts': 2105, 'n_successes': 1732, 'steps': 136, 'name': 'Linear Model'}
{'n_aborts': 2121, 'n_successes': 1743, 'steps': 137, 'name': 'Linear Model'}
{'n_aborts': 2137, 'n_successes': 1761, 'steps': 138, 'name': 'Linear Model'}
{'n_aborts': 2160, 'n_successes': 1773, 'steps': 139, 'name': 'Linear Model'}
{'n_aborts': 2172, 'n_successes': 1784, 'steps': 140, 'name': 'Linear Model'}
{'n_aborts': 2186, 'n_successes': 1802, 'steps': 141, 'name': 'Linear Model'}
