{'n_aborts': 0, 'n_successes': 61, 'steps': 12, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 27, 'steps': 12, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 65, 'steps': 13, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 201, 'steps': 13, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 69, 'steps': 13, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 64, 'steps': 13, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 204, 'steps': 13, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 66, 'steps': 13, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 30, 'steps': 13, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 68, 'steps': 14, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 210, 'steps': 14, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 72, 'steps': 14, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 67, 'steps': 14, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 210, 'steps': 14, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 70, 'steps': 14, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 33, 'steps': 14, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 73, 'steps': 15, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 215, 'steps': 15, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 77, 'steps': 15, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 73, 'steps': 15, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 219, 'steps': 15, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 79, 'steps': 15, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 36, 'steps': 15, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 77, 'steps': 16, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 223, 'steps': 16, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 80, 'steps': 16, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 79, 'steps': 16, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 226, 'steps': 16, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 84, 'steps': 16, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 38, 'steps': 16, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 80, 'steps': 17, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 230, 'steps': 17, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 85, 'steps': 17, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 84, 'steps': 17, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 230, 'steps': 17, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 87, 'steps': 17, 'name': 'RL-ordered k-smf n=50 T=6'}
