{'n_aborts': 0, 'n_successes': 97, 'steps': 18, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 223, 'steps': 18, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 95, 'steps': 18, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 50, 'steps': 18, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 92, 'steps': 19, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 225, 'steps': 19, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 89, 'steps': 19, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 101, 'steps': 19, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 229, 'steps': 19, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 99, 'steps': 19, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 51, 'steps': 19, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 101, 'steps': 20, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 234, 'steps': 20, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 98, 'steps': 20, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 102, 'steps': 20, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 235, 'steps': 20, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 106, 'steps': 20, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 53, 'steps': 20, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 106, 'steps': 21, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 239, 'steps': 21, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 105, 'steps': 21, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 109, 'steps': 21, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 238, 'steps': 21, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 113, 'steps': 21, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 58, 'steps': 21, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 111, 'steps': 22, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 246, 'steps': 22, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 110, 'steps': 22, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 114, 'steps': 22, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 245, 'steps': 22, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 122, 'steps': 22, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 61, 'steps': 22, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 116, 'steps': 23, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 250, 'steps': 23, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 117, 'steps': 23, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 117, 'steps': 23, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 248, 'steps': 23, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 125, 'steps': 23, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 63, 'steps': 23, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 118, 'steps': 24, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 256, 'steps': 24, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 120, 'steps': 24, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 120, 'steps': 24, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 254, 'steps': 24, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 133, 'steps': 24, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 66, 'steps': 24, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 123, 'steps': 25, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 261, 'steps': 25, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 124, 'steps': 25, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 123, 'steps': 25, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 259, 'steps': 25, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 135, 'steps': 25, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 67, 'steps': 25, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 127, 'steps': 26, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 262, 'steps': 26, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 132, 'steps': 26, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 123, 'steps': 26, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 264, 'steps': 26, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 142, 'steps': 26, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 68, 'steps': 26, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 130, 'steps': 27, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 269, 'steps': 27, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 140, 'steps': 27, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 133, 'steps': 27, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 268, 'steps': 27, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 152, 'steps': 27, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 71, 'steps': 27, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 134, 'steps': 28, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 272, 'steps': 28, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 143, 'steps': 28, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 136, 'steps': 28, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 274, 'steps': 28, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 160, 'steps': 28, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 74, 'steps': 28, 'name': 'RL-ordered k-smf n=20 T=6'}
